Player,Conference,Team,Position,offenseDefense,Salary,Bonus,Total
Cliff Groce,AFC,Bengals,RB,Offense,450000,1100,451100
Brock Gutierrez,AFC,Bengals,OL,Offense,472000,26100,498100
Cory Hall,AFC,Bengals,S,Defense,275000,141500,416500
Artrell Hawkins,AFC,Bengals,CB,Defense,372000,235200,607200
Rodney Heath,AFC,Bengals,CB,Defense,250100,3800,253900
John Jackson,AFC,Bengals,OL,Offense,630000,0,630000
Rod Jones,AFC,Bengals,OL,Offense,1662500,834800,2497300
Curtis Keaton,AFC,Bengals,RB,Offense,193000,100000,293000
Jevon Langford,AFC,Bengals,DE,Defense,500000,88300,588300
Tremain Mack,AFC,Bengals,S,Defense,641500,1000,642500
Tony McGee,AFC,Bengals,TE,Offense,1000000,501000,1501000
Scott Mitchell,AFC,Bengals,QB,Offense,600000,201500,801500
Matt ODwyer,AFC,Bengals,OL,Offense,941200,353100,1294300
Daniel Pope,AFC,Bengals,P/K,Offense,275000,0,275000
Neil Rackers,AFC,Bengals,P/K,Offense,193000,16300,209300
Scott Rehberg,AFC,Bengals,OL,Offense,385000,1300,386300
Mark Roman,AFC,Bengals,CB,Defense,271500,337500,609000
Adrian Ross,AFC,Bengals,LB,Defense,358000,1500,359500
Darnay Scott,AFC,Bengals,WR,Offense,2050000,850000,2900000
Brian Simmons,AFC,Bengals,LB,Defense,513000,791000,1304000
Akili Smith,AFC,Bengals,QB,Offense,275000,1546200,1821200
Armegis Spearman,AFC,Bengals,LB,Defense,193000,5000,198000
Takeo Spikes,AFC,Bengals,LB,Defense,486000,821000,1307000
Brad St. Louis,AFC,Bengals,TE,Offense,193000,10000,203000
Glenn Steele,AFC,Bengals,DT,Defense,358000,78400,436400
Jamain Stephens,AFC,Bengals,OL,Offense,650000,103000,753000
Peter Warrick,AFC,Bengals,WR,Offense,193000,1897000,2090000
Darryl Williams,AFC,Bengals,S,Defense,610000,335000,945000
Nick Williams,AFC,Bengals,RB,Offense,275000,37300,312300
Reinard Wilson,AFC,Bengals,LB,Defense,770000,551800,1321800
Craig Yeast,AFC,Bengals,WR,Offense,275000,88100,363100
Rahim Abdullah,AFC,Browns,LB,Defense,352500,188000,540500
Rashidi Barnes,AFC,Browns,S,Defense,193000,9300,202300
Brad Bedell,AFC,Browns,OL,Offense,193000,14300,207300
Bobby Brown,AFC,Browns,WR,Offense,193000,0,193000
Courtney Brown,AFC,Browns,DE,Defense,193000,2282300,2475300
James Brown,AFC,Browns,OL,Offense,500000,450000,950000
Jim Bundren,AFC,Browns,OL,Offense,358000,4500,362500
Chester Burnett,AFC,Browns,LB,Defense,358000,0,358000
Mark Campbell,AFC,Browns,TE,Offense,275000,29500,304500
Roger Chanoine,AFC,Browns,OL,Offense,275000,6900,281900
Lamar Chapman,AFC,Browns,S,Defense,193000,36500,229500
Darrin Chiaverini,AFC,Browns,WR,Offense,275000,37100,312100
Stalin Colinet,AFC,Browns,DT,Defense,472000,2600,474600
Tim Couch,AFC,Browns,QB,Offense,275000,1750000,2025000
JaJuan Dawson,AFC,Browns,WR,Offense,193000,146700,339700
Phil Dawson,AFC,Browns,P/K,Offense,275000,1300,276300
Ty Detmer,AFC,Browns,QB,Offense,1000000,322700,1322700
Marc Edwards,AFC,Browns,RB,Offense,385000,4700,389700
